工单id,客户名称,标题,TSS一级标签,TSS二级标签,TSS三级标签,TSS四级标签,待确认结单-问题描述,待确认结单-问题原因,待确认结单-解决方案,客户问题,原因,申请结单-处理方法,工单id
13699680,广州视睿电子科技有限公司,emr， 集群新增kyuubi组件执行了40+分钟 核实流程是否正常,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,emr， 集群新增kyuubi组件执行了40+分钟 核实流程是否正常,提前创建过kyuubi目录，导致流程阻塞,处理对应目录后重试流程，已正常完成服务添加。,<div>集群新增kyuubi组件执行了40+分钟了，一直卡25进度，帮忙看看任务在正常执行吗</div>,,,1
13698916,一汽—大众汽车有限公司,EMR，emr-bzjaj9u1，扩容64G是否会导致core节点被强制压平,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,,,,EMR，emr-bzjaj9u1，扩容64G是否会导致core节点被强制压平,,,1
13698902,重庆长安汽车股份有限公司,"emr,扩容集群，Mnode和HOST的区别是什么",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,"emr,扩容集群，Mnode和HOST的区别是什么",,,1
13698275,杭州锐傲网络科技有限公司,emr，资源手动退还已停服，注意事项咨询,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，资源手动退还已停服，注意事项咨询,,,1
13691743,上海诺鲨贸易有限公司,EMR，需要协助开白emr-fvwk0qje core节点缩容功能,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，需要协助开白emr-fvwk0qje core节点缩容功能,,,1
13690349,北京卡路里科技有限公司,emr，1月10日15:52通过api创建emr kafka报错，影响创建，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，1月10日15:52通过api创建emr kafka报错，影响创建，需确认原因,控制台和api使用逻辑不一致导致，辛苦您先按照以下方式来使用。\n1. CoreCount 改为 MasterCount\n2. CoreResourceSpec 改为 MasterResourceSpec,产品api校验逻辑待优化，这块产品侧后续也会来优化下。,emr，1月10日15:52通过api创建emr kafka报错，影响创建，需确认原因,,,1
13690331,未来电视有限公司,EMR，emr-hj1xytdc对应节点有test、hadoop的空口令账号，是否能删除账号,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，emr-hj1xytdc对应节点有test、hadoop的空口令账号，是否能删除账号,,,1
13687551,小红书科技有限公司,EMR，emr-dhcaxgpl，emr-1dtbcnbw，核实报错原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-dhcaxgpl，emr-1dtbcnbw，核实报错原因,这个报错影响不大，一般客户端侧主动断开也会打印这个\n\nHDFS出现broken pipe的原因：\n1. 网络延迟：如果发送方发送数据时，接收方因为网络延迟没有及时接收到数据，那么发送方就会认为连接已经断开，从而导致broken pipe错误。\n2. 对端关闭连接：如果接收方关闭了连接，而发送方此时还在发送数据，那么就会出现broken pipe错误。\n3. 数据量过大：如果发送方一次性发送的数据量过大，超过了接收方的缓冲区大小，那么就会出现broken pipe错误。,这个没办法调参规避，这个不影响跑任务的,EMR，emr-dhcaxgpl，emr-1dtbcnbw，核实报错原因,,,1
13686603,北京六分科技有限公司,EMR，需确认emr-ridlag8q缩容core节点任务状态,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，需确认emr-ridlag8q缩容core节点任务状态,,,1
13682673,北京畅游时代数码技术有限公司,emr，创建emr集群使用关联自建mysql，对于数据用户名的用户，需要那些权限，需确认,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，创建emr集群使用关联自建mysql，对于数据用户名的用户，需要那些权限，需确认,,,1
13680150,北京泰迪未来科技股份有限公司,EMR，emr-mcin62ug ，1月08日23:58，emr的扩容任务卡了十个小时，影响业务需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-mcin62ug ，1月08日23:58，emr的扩容任务卡了十个小时，影响扩容需确认原因,扩容Task时，触发了缩容Task，缩容Task通过手动干预，导致一些节点下线，从而阻塞扩容流程。,后台已协助人工跳过，验证任务没问题,EMR，emr-mcin62ug ，1月08日23:58，emr的扩容任务卡了十个小时，影响业务需确认原因,,,1
13680123,一汽—大众汽车有限公司,emr，emr-KE6F8BC5，近期5：30~6：30状态异常告警，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,emr，emr-KE6F8BC5，近期5：30~6：30状态异常告警，需确认原因,,,1
13679893,蔚来汽车科技（安徽）有限公司,emr，emr的sr集群fe节点升级硬件配置是否支持原地升级,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,emr，emr的sr集群fe节点升级硬件配置是否支持原地升级,,,1
13677917,深圳市富途网络科技有限公司,EMR，emr-7r0aj3i8，广州地域安全组绑定香港地域EMR集群,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,EMR，emr-7r0aj3i8，广州地域安全组绑定香港地域EMR集群,产品特性确实不能跨地域绑定，因为集群创建比较久，历史已经没有日志能查到了，我们这边获取安全组也是调用的安全组的接口，现在没法确定是安全组接口返回错误还是当时接口调用有问题了,建议还是更换下安全组，如果目前使用没问题，规则都是正常的，应该是不受影响了,安全组，sg-qs0g7949，广州地域安全组绑定香港地域EMR集群,,,1
13676722,上海蔚来汽车有限公司,emr，emr-7qvmjb79节点池调整磁盘大小不生效，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,emr，emr-7qvmjb79节点池调整磁盘大小不生效，影响使用,展示接口存在问题，实际扩容时还是会按照500G进行扩容,后续会针对该接口展示进行优化,emr，emr-7qvmjb79节点池调整磁盘大小不生效，影响使用,,,1
13675273,博锐尚格科技股份有限公司,"emr,emr-b75gnend节点内存一直超85%，需确认如何优化",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,"emr,emr-b75gnend节点内存一直超85%，需确认如何优化",,,1
13671541,广州品唯软件有限公司,EMR，emr-nnvy2nl9，需要缩容core节点和master节点，能否支持,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，emr-nnvy2nl9，需要缩容core节点和master节点，能否支持,,,1
13671392,广州盛成妈妈网络科技股份有限公司,EMR，emr集群所属云服务器中，挂载的CBS硬盘如何计费,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，emr集群所属云服务器中，挂载的CBS硬盘如何计费,,,1
13671291,一汽—大众汽车有限公司,emr，emr-p8acrkiv，节点存在坏盘隐患，需确认是否可以直接授权，不备份操作,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，emr-p8acrkiv，节点存在坏盘隐患，需确认是否可以直接授权，不备份操作,,,1
13670654,深圳市富途网络科技有限公司,EMR，emr-3bdv6s98，当前调用接口创建用户提示：新增用户被拒绝，影响用户增加。,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,引导操作、集群脚本,EMR，emr-3bdv6s98，当前调用接口创建用户提示：新增用户被拒绝，影响用户增加。,提交的新建用户频繁了，前边的用户创建还没完成造成的,每次新建的任务跟下次间隔30s以上左右,EMR，emr-3bdv6s98，当前调用接口创建用户提示：新增用户被拒绝，影响用户增加。,,,1
13670601,孩子王儿童用品股份有限公司,EMR，emr-6qm7xnwx，在循环跑天数据的时候，出现了某天的数据为0条的情况，也不报错，需协助分析原因，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,EMR，emr-6qm7xnwx，在循环跑天数据的时候，出现了某天的数据为0条的情况，也不报错，需协助分析原因，影响使用,表 dwd_scm_goodspssm_de_BG 的入库在 15:06:57 的时候，由于 SR 的 tablet 异步版本\n发布超时而导致 create tablet as select 的请求返回成功。 这时候，由于下一个任务的入库的基表\n是 dwd_scm_goodspssm_de_BG，但是这个时候，tablet 的版本还没有发布成功（15:07：06 发\n布成功），所以查不出来数据。导致任务空数据的情况,使用同步入库方式通过参数：\nenable_sync_publish true 来解决,EMR，emr-6qm7xnwx，在循环跑天数据的时候，出现了某天的数据为0条的情况，也不报错，需协助分析原因，影响使用,,,1
13670559,深圳市富途网络科技有限公司,CVM，10808，新加坡三区IT5.4XLARGE64资源一台。,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR：emr-h26ckfmq，扩容报错，影响扩容,因为IT5.4XLARGE64资源问题导致扩容异常,可以考虑先使用其他资源来满足使用需求（如：ITA5.4XLARGE64），后续有IT5.4XLARGE64资源在替换掉。,CVM，10808，新加坡三区IT5.4XLARGE64资源一台。,,,1
13668223,泰康保险集团股份有限公司,emr，emr-rd7hedd9，appadmin用户无法执行crontab -e，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,控制台报错,emr，emr-rd7hedd9，appadmin用户无法执行crontab -e，影响使用\n,用户密码过期导致,用户密码过期\ncat /var/log/secure 可以看到密码过期的提示\n修改密码，然后执行\nchage –M -1 用户名 设定用户密码永不过期\n,emr，emr-rd7hedd9，appadmin用户无法执行crontab -e，影响使用,,,1
13667355,BBX AI (PTE. LTD.),EMR，emr-q0abwnfv，DashBoard无法查看，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-q0abwnfv，DashBoard无法查看，影响使用,dashboard.emr.tencentcloud.com解析到了国内的CLB上，但域名未备案，被合规侧拦截,1. 合规团队先开白恢复业务访问 \n2.业务团队尽快将国际站域名解析到国外服务器IP满足合规要求,EMR，DashBoard无法查看，影响使用,,,1
13665613,深圳市雷鸟网络传媒有限公司,emr，emr-fkbcc97h集群，数据分析集群报扩容失败，影响使用需协助核实,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，emr-fkbcc97h集群，数据分析集群报扩容失败，影响使用需协助核实,网络波动后台主备发生了切换，数据延迟导致时间推迟告警，没有影响到客户的正常扩缩容的,正常扩容,emr，emr-fkbcc97h集群，数据分析集群报扩容失败，影响使用需协助核实,,,1
13664668,北京红本科技有限公司,emr：需了解实例id：ins-b721oqyt 关机无法升级的解决方案,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr：需了解实例id：ins-b721oqyt 关机无法升级的解决方案,,,1
13664229,北京光宇在线科技有限责任公司,emr，emr-ixfbfh29，节点磁盘扩容后显示没有变化，需确认如何操作一致,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,,,,emr，emr-ixfbfh29，节点磁盘扩容后显示没有变化，需确认如何操作一致,,,1
13663757,杭州锐傲网络科技有限公司,EMR，需了解TRANSACTION状态的告警选项是否发布成功,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,,,,EMR，需了解TRANSACTION状态的告警选项是否发布成功,,,1
13663666,昆仑天工科技有限公司,emr，emr-9iubjzc1，mapreduce的用户管理中的用户，是否涉及系统的使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,账户权限,,,,emr，emr-9iubjzc1，mapreduce的用户管理中的用户，是否涉及系统的使用,,,1
13663308,武汉思行教育科技有限公司,EMR，emr-chusjwow销毁core 节点报错需排查原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-chusjwow销毁core 节点报错需排查原因,根据报错显示，集群最低要求3台core缩容。rs只有3个了所以限制了，贵方缩容的机器是这3个ip其一,如果不用hbase，可以卸载掉hbase服务再缩容，即可正常缩容,EMR，emr-chusjwow销毁core 节点报错需排查原因,,,1
13663205,沃尔玛（中国）投资有限公司,"emr,emr-6orhj3gi,BE节点10.128.8.102有15T数据，节点迁移预估耗时时长",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,"emr,emr-6orhj3gi,BE节点10.128.8.102有15T数据，节点迁移预估耗时时长",,,1
13663112,北京红本科技有限公司,emr： emr-2jety51i 创建集群卡住了，master节点规格只有16g，建议扩容,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr： emr-2jety51i 创建集群卡住了，master节点规格只有16g，建议扩容,,,1
13663101,成都智齿博创科技有限公司,EMR，namenode目录 /data/emr/hdfs/namenode 占用了279G，需确认是否正常,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,,,,EMR，namenode目录 /data/emr/hdfs/namenode 占用了279G，需确认是否正常,,,1
13662500,VANTASTONE TECHNOLOGY PTE. LTD,EMR，emr-j9w79c27的Core节点增加了硬盘，在中午14:37左右进行了数据均衡任务，提交任务后很快就完成了，怀疑任务未正常执行，影响数据均衡,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,EMR，emr-j9w79c27的Core节点增加了硬盘，在中午14:37左右进行了数据均衡任务，提交任务后很快就完成了，怀疑任务未正常执行，影响数据均衡,不涉及，流程正常,客户是扩容了磁盘，已经引导客户进行diskbalancer操作，目前看新的盘上的数据在增长，可以通过以下方法加速\nhdfs dfsadmin -setBalancerBandwidth 20971520 //设置了balancer限流20M，该值可以根据实际情况动态设置，建议不\n超过100M，以免影响业务,EMR，emr-j9w79c27的Core节点增加了硬盘，在中午14:37左右进行了数据均衡任务，提交任务后很快就完成了，怀疑任务未正常执行，影响数据均衡,,,1
13657118,广州舜飞信息科技有限公司,容器服务：emr-vm-hr6jcs5p节点异常影响使用，需要确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,控制台报错,容器服务：emr-vm-hr6jcs5p节点异常影响使用，需要确认原因,宿主机硬件故障,更换设备,容器服务：emr-vm-hr6jcs5p节点异常影响使用，需要确认原因,,,1
13655334,湖南口味王集团有限责任公司,emr，emr-9rpi8ifc，生产环境升级后SQL查询无法出结果 profile日志，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,信息展示,emr-9rpi8ifc，生产环境升级后SQL查询无法出结果 profile日志，影响使用,原因为cos性能过低导致。CN升配重启后，缓存清空，需要从COS桶拉取数据，因COS桶性能不足，拉取超时导致升配后无法查询,调整了COS性能参数后恢复，建议使用融合桶，普通桶的速度相对较慢,emr，emr-9rpi8ifc，生产环境升级后SQL查询无法出结果 profile日志，影响使用,,,1
13655225,上海肯斯爪特科技有限公司,emr，emr-hu2izag9，需支持跨区扩容,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，emr-hu2izag9，需支持跨区扩容,,,1
13654984,泰康保险集团股份有限公司,emr ，emr-rd7hedd9集群hadoop漏洞 如何处理,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr ，emr-rd7hedd9集群hadoop漏洞 如何处理,,,1
13654277,湖南口味王集团有限责任公司,EMR，UAT的任务调度StarRocks大量失败，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,EMR，UAT的任务调度StarRocks大量失败，影响使用,,,1
13653624,广州诗悦网络科技有限公司,emr，emr-hswdlh2g 缩容节点卡住,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，emr-hswdlh2g，缩容节点卡住,流程是正常的，因为您们新扩的节点又在进行balance，所以会影响到缩容的效率,目前缩容流程已经完成。,emr，emr-hswdlh2g 缩容节点卡住,,,1
13653574,上海赛可出行科技服务有限公司,emr：需要确认自动伸缩规格管理里面是否可以直接配置包年包月,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr：需要确认自动伸缩规格管理里面是否可以直接配置包年包月,,,1
13653291,深圳市雷鸟网络传媒有限公司,EMR， emr-fkbcc97h自动伸缩报内部错误，影响使用需协助排查,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,自动伸缩,EMR， emr-fkbcc97h自动伸缩报内部错误，影响使用需协助排查,计费服务组件版本升级时，引发网关和组件兼容性问题，导致网关到后端服务的部分请求异常，从而影响计费支付链路（充值/订单支付等场景）,计费服务组件版本升级时，引发网关和组件兼容性问题，导致网关到后端服务的部分请求异常，从而影响计费支付链路（充值/订单支付等场景），15:28收到异常告警后第一时间定位到与升级有关，紧急快速回滚、验证后逐步恢复，于15:37业务恢复到正常水平。\n后续规避措施：\n1.已解决网关和组件之间兼容性问题------2025年1月3号\n2.已完善跨组件的兼容性验证测试用例--------2025年1月3号,EMR， emr-fkbcc97h自动伸缩报内部错误，影响使用需协助排查,,,1
13652861,北京蓝色光标数字传媒科技有限公司,EMR，emr-brzpmz5z，客户端请求被cancel，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,EMR，emr-brzpmz5z，客户端请求被cancel，影响使用,当前已恢复 ,待排查问题根因,EMR，emr-brzpmz5z，客户端请求被cancel，影响使用,,,1
13652707,广州诗悦网络科技有限公司,EMR，需要协助协调一台 I3.4XLARGE64机型,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，需要协助协调一台 I3.4XLARGE64机型,,,1
13649678,上海驿氪信息科技有限公司,emr emr-hik1vsge 5:52-6:03YARN节点_NumUnhealthyNMs > 0.000 Count，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,emr emr-hik1vsge 5:52-6:03YARN节点_NumUnhealthyNMs > 0.000 Count，影响使用,Nodemanager节点数据盘超过90%，,告警时，Nodemanager节点数据盘超过90%，就会被认定为unhealthy nm节点,emr emr-hik1vsge 5:52-6:03YARN节点_NumUnhealthyNMs > 0.000 Count，影响使用,,,1
13649314,BBX AI (PTE. LTD.),emr，emr-33l06tan，emr集群报错，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,emr，emr-33l06tan，emr集群报错，影响使用,流程已操作结束，\nresourcemanager is running as process 10399. Stop it first.\n从日志描述来看相识没停止掉进程，导致卡住了\n,后端手动介入恢复,emr，emr-33l06tan，emr集群报错，影响使用,,,1
13648305,北京红本科技有限公司,EMR：购买报错提示没有权限购买，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,账户权限,,,,EMR：购买报错提示没有权限购买，需确认原因,,,1
13646873,广州诗悦网络科技有限公司,"emr,emr-152i153b,cpu使用率100%，需要确认原因",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,"emr,emr-152i153b,cpu使用率100%，需要确认原因",看大部分是sr占用的 ,具体可以查下审计日志表，筛选下时间，根据cpu使用率排序\n操作指引：https://docs.starrocks.io/zh/docs/administration/management/audit_loader/   \n\n拿cpuCostNs这个字段倒序排下,"emr,emr-152i153b,cpu使用率100%，需要确认原因",,,1
13646533,BBX AI (PTE. LTD.),emr，emr-46j7ayg9，实例高io类型core节点无资源，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，emr-46j7ayg9，实例高io类型core节点无资源，影响使用,,,1
13646065,深圳市和讯华谷信息技术有限公司,emr，emr-jmonmin5节点缩容进程异常影响使用核实原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,emr，emr-jmonmin5节点缩容进程异常影响使用核实原因,核实1个块一直不结束导致流程异常,已协助跳过流程，手动下线节点,em，emr-jmonmin5节点缩容进程异常影响使用核实原因,,,1
13645960,武汉市多比特信息科技有限公司,EMR，emr-jyelhxf7，在不修改配置的场景下如何下发配置呢,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，emr-jyelhxf7，在不修改配置的场景下如何下发配置呢,,,1
13645855,赛诺菲(中国)投资有限公司上海分公司,"EMR, SR集群磁盘缩容方案跟进",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,"EMR, SR集群磁盘缩容方案跟进",,,1
13645339,BBX AI (PTE. LTD.),emr，emr-ho3437mt，需要开白core节点缩容功能,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，emr-ho3437mt，需要开白core节点缩容功能,,,1
13644843,荣耀终端股份有限公司,"emr，emr-6bdznxhw,emr-8w5vk6rm,海外法兰克福&新加坡集群无法扩容s5",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,"emr，emr-6bdznxhw,emr-8w5vk6rm,海外法兰克福&新加坡集群无法扩容s5",,,1
13642822,广东行致互联科技有限公司,emr，emr-4w3xf088扩容规格不一样，导致无法 rebalance，确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,emr，emr-4w3xf088扩容规格不一样，导致无法 rebalance，确认原因,磁盘大小不一致无法做balance,先增加参数，手动执行一下balance。,emr，emr-4w3xf088扩容规格不一样，导致无法 rebalance，确认原因,,,1
13641740,深圳市雷鸟网络传媒有限公司,emr，emr-h5sgynff，emr自动伸缩策略执行失败，影响使用，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,emr，emr-h5sgynff，emr自动伸缩策略执行失败，影响使用，需确认原因,设置的竞价优先，五区SA5没有竞价实例库存去八区创建由于竞价实例配额不足导致扩容任务失败，当前已调整八区竞价实例配额。,短期方案：\n1.手动调整负载伸缩调度周期到300s -控制台可调整\n2.优化拉黑逻辑6min -1.10发布\n\n长期优化方案 -3月中发布\n1.根据负载伸缩具体间隔确定拉黑时间\n2.优化优先级下单+补偿能力，保障有货资源在调度周期内成功,emr，emr-h5sgynff，emr自动伸缩策略执行失败，影响使用，需确认原因,,,1
